figure_id	Collection	Compartment	OMEROFigurelink	image	Flybase_ID	FlyBase link	Gene	If there is RNA expression, what patterns does the RNA make?_x	If there is protein expression, what patterns does the protein make?_x	Is RNA present in NBs?_x	Is protein present in NBs?_x	Is RNA present in other cells?_x	Is protein present in other cells?_x	General comments_x	If there is RNA expression, what patterns does the RNA make?_y	If there is protein expression, what patterns does the protein make?_y	Is RNA present in NBs?_y	Is protein present in NBs?_y	Is RNA present in other cells?_y	Is protein present in other cells?_y	General comments_y	neural RNAi phenotype	GO molecular function	GO biological process	L3 CNS	3prime UTR length	GO cellular component	FlyAtlas expression
	CPTI003706				FBgn0028341	http://flybase.org/reports/FBgn0028341	Ptpmeg2															neuroblast underproliferation,ganglion mother cell shorter lineages	protein tyrosine phosphatase activity,non-membrane spanning protein tyrosine phosphatase activity	border follicle cell migration,peptidyl-tyrosine phosphorylation,protein dephosphorylation	40	2812,384,2811	cytosol	Larval tubule,Tubule,Ovary
	CPTI000633				FBgn0028327	http://flybase.org/reports/FBgn0028327	l(1)G0320																		196	165,799	endomembrane system,fusome,endoplasmic reticulum membrane,endoplasmic reticulum	Larval salivary gland,S2 cells,Male accessory glands,Virgin spermatheca,Adult carcass,Adult fat body,Mated spermatheca,Salivary gland,Larval trachea,Adult heart,Midgut,Larval midgut,Larvae hindgut
	FTRG640				FBgn0028327	http://flybase.org/reports/FBgn0028327	l(1)G0320																		196	165,799	endomembrane system,fusome,endoplasmic reticulum membrane,endoplasmic reticulum	Larval salivary gland,S2 cells,Male accessory glands,Virgin spermatheca,Adult carcass,Adult fat body,Mated spermatheca,Salivary gland,Larval trachea,Adult heart,Midgut,Larval midgut,Larvae hindgut
	CPTI000256				FBgn0027951	http://flybase.org/reports/FBgn0027951	MTA1-like																chromatin binding,sequence-specific DNA binding,zinc ion binding	chromosome condensation	105	1774,1310,1184	histone deacetylase complex,nucleoplasm,NuRD complex	Larval salivary gland,Larval carcass,Male accessory glands,Mated spermatheca,Larval tubule,Brain,Adult fat body,Ovary,Tubule,Larval CNS,S2 cells,Larval fat body,Larvae hindgut
	CPTI001990				FBgn0027951	http://flybase.org/reports/FBgn0027951	MTA1-like																chromatin binding,sequence-specific DNA binding,zinc ion binding	chromosome condensation	105	1774,1310,1184	histone deacetylase complex,nucleoplasm,NuRD complex	Larval salivary gland,Larval carcass,Male accessory glands,Mated spermatheca,Larval tubule,Brain,Adult fat body,Ovary,Tubule,Larval CNS,S2 cells,Larval fat body,Larvae hindgut
	CPTI001695				FBgn0027598	http://flybase.org/reports/FBgn0027598	cindr																GTPase activating protein binding,SH3 domain binding,cell adhesion molecule binding	border follicle cell migration,intercellular bridge organization,positive regulation of receptor-mediated endocytosis,compound eye development,actin filament organization,regulation of cytokinesis,adherens junction assembly,compound eye morphogenesis	26	505,245,960,514	fusome,intercellular bridge,cleavage furrow,midbody,apical cortex	Head,S2 cells,Male accessory glands,Adult carcass,Brain,Larval tubule,Tubule,Crop,Thoracicoabdominal ganglion,Larval CNS,Hindgut,Midgut,Adult eye,Larval midgut,Larvae hindgut
	CPTI002324				FBgn0027598	http://flybase.org/reports/FBgn0027598	cindr																GTPase activating protein binding,SH3 domain binding,cell adhesion molecule binding	border follicle cell migration,intercellular bridge organization,positive regulation of receptor-mediated endocytosis,compound eye development,actin filament organization,regulation of cytokinesis,adherens junction assembly,compound eye morphogenesis	26	505,245,960,514	fusome,intercellular bridge,cleavage furrow,midbody,apical cortex	Head,S2 cells,Male accessory glands,Adult carcass,Brain,Larval tubule,Tubule,Crop,Thoracicoabdominal ganglion,Larval CNS,Hindgut,Midgut,Adult eye,Larval midgut,Larvae hindgut
	CPTI003993				FBgn0027570	http://flybase.org/reports/FBgn0027570	Nep2																metallopeptidase activity,endopeptidase activity,metalloendopeptidase activity	protein processing,proteolysis,sperm competition	6	155,495	extracellular space,integral component of membrane,plasma membrane	Head,Virgin spermatheca,Mated spermatheca,Tubule,Larval tubule,Salivary gland,Thoracicoabdominal ganglion,Hindgut,Larvae hindgut
	CPTI002789				FBgn0027356	http://flybase.org/reports/FBgn0027356	Amph																phospholipid binding	rhabdomere development,regulation of muscle contraction,rhabdomere membrane biogenesis,exocytosis,protein localization,synaptic vesicle endocytosis	12	979	synapse,cleavage furrow,cytoplasm,plasma membrane	Head,Larval carcass,Adult carcass,Brain,Tubule,Salivary gland,Crop,Thoracicoabdominal ganglion,Adult heart,Hindgut,Larvae hindgut
	CPTI003426				FBgn0027087	http://flybase.org/reports/FBgn0027087	HisRS																histidine-tRNA ligase activity,ATP binding	histidyl-tRNA aminoacylation,mitochondrial translation	23	247	cytosol,mitochondrion,cytoplasm	Larval CNS,Larval salivary gland,Larval carcass,Tubule,Male accessory glands,S2 cells,Ovary
	CPTI003811				FBgn0027087	http://flybase.org/reports/FBgn0027087	HisRS																histidine-tRNA ligase activity,ATP binding	histidyl-tRNA aminoacylation,mitochondrial translation	23	247	cytosol,mitochondrion,cytoplasm	Larval CNS,Larval salivary gland,Larval carcass,Tubule,Male accessory glands,S2 cells,Ovary
	CPTI001685				FBgn0026721	http://flybase.org/reports/FBgn0026721	fat-spondin																serine-type endopeptidase inhibitor activity	cell adhesion	5	86	extracellular region,extracellular matrix	Head,Virgin spermatheca,Adult carcass,Brain,Adult fat body,Mated spermatheca,Thoracicoabdominal ganglion,Adult heart,Adult eye,S2 cells,Larval fat body
	CPTI000365				FBgn0026533	http://flybase.org/reports/FBgn0026533	Dek																histone binding,DNA binding	regulation of double-strand break repair,chromatin organization	216	1874,406,494	nucleus,nucleoplasm	Larval CNS,Larval salivary gland,Tubule,Male accessory glands,S2 cells,Ovary,Salivary gland,Larval trachea
	CPTI000426				FBgn0026533	http://flybase.org/reports/FBgn0026533	Dek																histone binding,DNA binding	regulation of double-strand break repair,chromatin organization	216	1874,406,494	nucleus,nucleoplasm	Larval CNS,Larval salivary gland,Tubule,Male accessory glands,S2 cells,Ovary,Salivary gland,Larval trachea
	CPTI000448				FBgn0026533	http://flybase.org/reports/FBgn0026533	Dek																histone binding,DNA binding	regulation of double-strand break repair,chromatin organization	216	1874,406,494	nucleus,nucleoplasm	Larval CNS,Larval salivary gland,Tubule,Male accessory glands,S2 cells,Ovary,Salivary gland,Larval trachea
	CPTI002560				FBgn0026533	http://flybase.org/reports/FBgn0026533	Dek																histone binding,DNA binding	regulation of double-strand break repair,chromatin organization	216	1874,406,494	nucleus,nucleoplasm	Larval CNS,Larval salivary gland,Tubule,Male accessory glands,S2 cells,Ovary,Salivary gland,Larval trachea
	CPTI002201				FBgn0026418	http://flybase.org/reports/FBgn0026418	Hsc70Cb																ATP hydrolysis activity,ATP binding	protein folding,chaperone-mediated protein complex assembly	122	615,488	cytosol,nucleus,cytoplasm	Larval CNS,Larval salivary gland,S2 cells,Adult fat body,Ovary
	CPTI002804				FBgn0026418	http://flybase.org/reports/FBgn0026418	Hsc70Cb																ATP hydrolysis activity,ATP binding	protein folding,chaperone-mediated protein complex assembly	122	615,488	cytosol,nucleus,cytoplasm	Larval CNS,Larval salivary gland,S2 cells,Adult fat body,Ovary
	CPTI003501				FBgn0026259	http://flybase.org/reports/FBgn0026259	eIF5B																GTPase activity,protein binding,DEAD/H-box RNA helicase binding,translation initiation factor activity,GTP binding	translational initiation	52	318,311	cytosol,cytoplasm	Larval salivary gland,Larval carcass,Male accessory glands,Virgin spermatheca,Mated spermatheca,Larval tubule,Ovary,Salivary gland,Larval trachea,Crop,Testis,Larval CNS,Tubule,S2 cells,Larval fat body,Larvae hindgut
	CPTI002756				FBgn0026259	http://flybase.org/reports/FBgn0026259	eIF5B																GTPase activity,protein binding,DEAD/H-box RNA helicase binding,translation initiation factor activity,GTP binding	translational initiation	52	318,311	cytosol,cytoplasm	Larval salivary gland,Larval carcass,Male accessory glands,Virgin spermatheca,Mated spermatheca,Larval tubule,Ovary,Salivary gland,Larval trachea,Crop,Testis,Larval CNS,Tubule,S2 cells,Larval fat body,Larvae hindgut
	CPTI003146				FBgn0026252	http://flybase.org/reports/FBgn0026252	msk																U2 snRNA binding,protein binding,small GTPase binding,U4 snRNA binding,U1 snRNA binding	imaginal disc-derived wing vein morphogenesis,compound eye development,imaginal disc-derived wing morphogenesis,imaginal disc-derived wing vein specification,wing cell fate specification,compound eye cone cell differentiation,rhabdomere development,ommatidial rotation,muscle attachment,Cajal body organization,R8 cell differentiation,negative regulation of neuron apoptotic process,protein import into nucleus	127	568	cytosol,nuclear envelope,nucleoplasm,Cajal body,nucleus,cell cortex,perinuclear region of cytoplasm,cytoplasm	Larval trachea,Larval CNS,S2 cells,Adult fat body,Ovary
	CPTI002562				FBgn0026250	http://flybase.org/reports/FBgn0026250	eIF1A																translation initiation factor activity	translational initiation,translation	185	548,1069	cytosol,nucleoplasm,eukaryotic 43S preinitiation complex,cytoplasm	Larval salivary gland,Larval carcass,Male accessory glands,Virgin spermatheca,Mated spermatheca,Adult fat body,Larval tubule,Salivary gland,Larval trachea,Crop,Tubule,Hindgut,Adult eye,Larval fat body,Midgut
	CPTI002181				FBgn0026144	http://flybase.org/reports/FBgn0026144	CBP																calcium ion binding	defense response to Gram-negative bacterium	63	165,924	cytosol,nucleoplasm	Larval CNS,Larval carcass,Ovary,Larval trachea
	CPTI002811				FBgn0026144	http://flybase.org/reports/FBgn0026144	CBP																calcium ion binding	defense response to Gram-negative bacterium	63	165,924	cytosol,nucleoplasm	Larval CNS,Larval carcass,Ovary,Larval trachea
	CPTI002876				FBgn0026144	http://flybase.org/reports/FBgn0026144	CBP																calcium ion binding	defense response to Gram-negative bacterium	63	165,924	cytosol,nucleoplasm	Larval CNS,Larval carcass,Ovary,Larval trachea
	FTRG1282				FBgn0026144	http://flybase.org/reports/FBgn0026144	CBP																calcium ion binding	defense response to Gram-negative bacterium	63	165,924	cytosol,nucleoplasm	Larval CNS,Larval carcass,Ovary,Larval trachea
	CPTI003394				FBgn0024238	http://flybase.org/reports/FBgn0024238	Fim																calcium ion binding,actin filament binding	cortical actin cytoskeleton organization,syncytial embryo cellularization,actin filament bundle assembly,actin filament network formation,actin crosslink formation	53	969	cytosol,actin filament bundle,actin filament,apical cortex,cytoplasm,contractile ring	Larval carcass,S2 cells,Virgin spermatheca,Mated spermatheca,Brain,Larval tubule,Larval trachea,Crop,Thoracicoabdominal ganglion,Larval CNS,Midgut,Adult eye,Larval midgut,Larval fat body,Larvae hindgut
	CPTI003498				FBgn0024238	http://flybase.org/reports/FBgn0024238	Fim																calcium ion binding,actin filament binding	cortical actin cytoskeleton organization,syncytial embryo cellularization,actin filament bundle assembly,actin filament network formation,actin crosslink formation	53	969	cytosol,actin filament bundle,actin filament,apical cortex,cytoplasm,contractile ring	Larval carcass,S2 cells,Virgin spermatheca,Mated spermatheca,Brain,Larval tubule,Larval trachea,Crop,Thoracicoabdominal ganglion,Larval CNS,Midgut,Adult eye,Larval midgut,Larval fat body,Larvae hindgut
	CPTI100066				FBgn0024238	http://flybase.org/reports/FBgn0024238	Fim																calcium ion binding,actin filament binding	cortical actin cytoskeleton organization,syncytial embryo cellularization,actin filament bundle assembly,actin filament network formation,actin crosslink formation	53	969	cytosol,actin filament bundle,actin filament,apical cortex,cytoplasm,contractile ring	Larval carcass,S2 cells,Virgin spermatheca,Mated spermatheca,Brain,Larval tubule,Larval trachea,Crop,Thoracicoabdominal ganglion,Larval CNS,Midgut,Adult eye,Larval midgut,Larval fat body,Larvae hindgut
	FTRG895				FBgn0024238	http://flybase.org/reports/FBgn0024238	Fim																calcium ion binding,actin filament binding	cortical actin cytoskeleton organization,syncytial embryo cellularization,actin filament bundle assembly,actin filament network formation,actin crosslink formation	53	969	cytosol,actin filament bundle,actin filament,apical cortex,cytoplasm,contractile ring	Larval carcass,S2 cells,Virgin spermatheca,Mated spermatheca,Brain,Larval tubule,Larval trachea,Crop,Thoracicoabdominal ganglion,Larval CNS,Midgut,Adult eye,Larval midgut,Larval fat body,Larvae hindgut
	CPTI003151				FBgn0023509	http://flybase.org/reports/FBgn0023509	mip130																DNA binding	negative regulation of transcription by RNA polymerase II,regulation of cell cycle,reproduction,centrosome cycle,eggshell chorion gene amplification,regulation of transcription by RNA polymerase II	54	384	polytene chromosome,transcription repressor complex,nucleoplasm,chromatin,nucleus,Myb complex	Larval CNS,Larval salivary gland,Salivary gland,S2 cells,Brain,Ovary,Larval trachea
	CPTI100035				FBgn0023407	http://flybase.org/reports/FBgn0023407	B4																	circadian rhythm,imaginal disc development	28	3880,1848	plasma membrane	Head,Larval salivary gland,Virgin spermatheca,Adult carcass,Brain,Adult fat body,Mated spermatheca,Salivary gland,Crop,Thoracicoabdominal ganglion,Adult heart,Larval CNS,Hindgut,Adult eye,S2 cells,Larvae hindgut
	CPTI001879				FBgn0023215	http://flybase.org/reports/FBgn0023215	Mnt																protein binding,RNA polymerase II cis-regulatory region sequence-specific DNA binding,sequence-specific DNA binding,protein heterodimerization activity,DNA-binding transcription factor activity,RNA polymerase II-specific	negative regulation of cell growth,DNA-templated,negative regulation of transcription by RNA polymerase II,regulation of cell cycle,regulation of transcription,regulation of transcription by RNA polymerase II	43	39,931	nucleus,nucleoplasm	Crop,Adult heart,Larval tubule,Adult eye,Brain,Ovary
	FTRG34				FBgn0023215	http://flybase.org/reports/FBgn0023215	Mnt																protein binding,RNA polymerase II cis-regulatory region sequence-specific DNA binding,sequence-specific DNA binding,protein heterodimerization activity,DNA-binding transcription factor activity,RNA polymerase II-specific	negative regulation of cell growth,DNA-templated,negative regulation of transcription by RNA polymerase II,regulation of cell cycle,regulation of transcription,regulation of transcription by RNA polymerase II	43	39,931	nucleus,nucleoplasm	Crop,Adult heart,Larval tubule,Adult eye,Brain,Ovary
	CPTI002576				FBgn0023213	http://flybase.org/reports/FBgn0023213	eIF4G1																RNA 7-methylguanosine cap binding,translation initiation factor activity,RNA binding,eukaryotic initiation factor 4E binding,mRNA binding	mitotic cell cycle,translational initiation,regulation of translation,translation	89	195	cytosol,eukaryotic translation initiation factor 4F complex	Larval carcass,Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Ovary,Larval midgut,Larvae hindgut,Larval salivary gland,Mated spermatheca,Adult fat body,Tubule,Salivary gland,Larval trachea,Crop,Adult heart,Larval CNS,S2 cells,Midgut
	CPTI002226				FBgn0022349	http://flybase.org/reports/FBgn0022349	CG1910																molecular_function	long-term memory	151	1182	nucleus,nucleoplasm	Larval CNS,Larval salivary gland,Male accessory glands,Virgin spermatheca,S2 cells,Mated spermatheca,Ovary,Larval trachea
	CPTI002770				FBgn0022349	http://flybase.org/reports/FBgn0022349	CG1910																molecular_function	long-term memory	151	1182	nucleus,nucleoplasm	Larval CNS,Larval salivary gland,Male accessory glands,Virgin spermatheca,S2 cells,Mated spermatheca,Ovary,Larval trachea
	CPTI000199				FBgn0022213	http://flybase.org/reports/FBgn0022213	Cse1															ganglion mother cell shorter lineages	nuclear export signal receptor activity,small GTPase binding	protein export from nucleus,protein import into nucleus	26	168	cytosol,nuclear envelope,nucleoplasm	Ovary
	CPTI002674				FBgn0022213	http://flybase.org/reports/FBgn0022213	Cse1															ganglion mother cell shorter lineages	nuclear export signal receptor activity,small GTPase binding	protein export from nucleus,protein import into nucleus	26	168	cytosol,nuclear envelope,nucleoplasm	Ovary
	CPTI004381				FBgn0022029	http://flybase.org/reports/FBgn0022029	l(2)k01209																ATP binding,uridine kinase activity	pyrimidine-containing compound salvage,nucleoside metabolic process	7	93	nucleus,cytoplasm	Larval salivary gland,Larval tubule,Ovary,Salivary gland,Larval trachea,Crop,Tubule,Larval CNS,Hindgut,S2 cells
	CPTI002187				FBgn0020660	http://flybase.org/reports/FBgn0020660	eIF4B																RNA strand annealing activity,translation initiation factor activity	translational initiation,eukaryotic translation initiation factor 4F complex assembly	105	410,337,196,56	cytosol	Head,Larval salivary gland,Male accessory glands,Virgin spermatheca,Adult carcass,Brain,Adult fat body,Larval tubule,Mated spermatheca,Ovary,Salivary gland,Larval CNS,Thoracicoabdominal ganglion,Tubule,Adult eye,Larval fat body
	FTRG939				FBgn0020660	http://flybase.org/reports/FBgn0020660	eIF4B																RNA strand annealing activity,translation initiation factor activity	translational initiation,eukaryotic translation initiation factor 4F complex assembly	105	410,337,196,56	cytosol	Head,Larval salivary gland,Male accessory glands,Virgin spermatheca,Adult carcass,Brain,Adult fat body,Larval tubule,Mated spermatheca,Ovary,Salivary gland,Larval CNS,Thoracicoabdominal ganglion,Tubule,Adult eye,Larval fat body
	CPTI002207				FBgn0020513	http://flybase.org/reports/FBgn0020513	ade5																phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,phosphoribosylaminoimidazole carboxylase activity	'de novo' IMP biosynthetic process	10	1016,292	cytosol,cytoplasm	Head,Adult heart,Larval fat body,Virgin spermatheca,S2 cells,Adult carcass,Adult fat body,Mated spermatheca
	CPTI000609				FBgn0020443	http://flybase.org/reports/FBgn0020443	eRF3																translation release factor activity,GTP binding,GTPase activity,translation termination factor activity	translation,translational termination	79	1715,1038	cytosol,translation release factor complex	Larval salivary gland,Larval carcass,Male accessory glands,Adult fat body,Larval tubule,Ovary,Larval trachea,Salivary gland,S2 cells,Larval fat body,Larvae hindgut
	CPTI000274				FBgn0020412	http://flybase.org/reports/FBgn0020412	JIL-1																histone kinase activity (H3-S10 specific),protein binding,ATP binding,protein serine/threonine kinase activity	protein phosphorylation,chromosome organization,histone phosphorylation,chromatin organization,telomere maintenance,peptidyl-serine phosphorylation,regulation of transcription,heterochromatin boundary formation,protein autophosphorylation,oogenesis,DNA-templated	22	468,1871	transcription activating,nuclear chromosome,chromatin,nucleus,X chromosome located dosage compensation complex,cytoplasm,polytene chromosome puff,polytene chromosome,nucleoplasm,polytene chromosome interband	Head,Larval salivary gland,Larval carcass,Male accessory glands,Virgin spermatheca,Mated spermatheca,Brain,Tubule,Salivary gland,Crop,Thoracicoabdominal ganglion,Larval CNS,Hindgut,Adult eye,S2 cells
	CPTI001616				FBgn0020412	http://flybase.org/reports/FBgn0020412	JIL-1																histone kinase activity (H3-S10 specific),protein binding,ATP binding,protein serine/threonine kinase activity	protein phosphorylation,chromosome organization,histone phosphorylation,chromatin organization,telomere maintenance,peptidyl-serine phosphorylation,regulation of transcription,heterochromatin boundary formation,protein autophosphorylation,oogenesis,DNA-templated	22	468,1871	transcription activating,nuclear chromosome,chromatin,nucleus,X chromosome located dosage compensation complex,cytoplasm,polytene chromosome puff,polytene chromosome,nucleoplasm,polytene chromosome interband	Head,Larval salivary gland,Larval carcass,Male accessory glands,Virgin spermatheca,Mated spermatheca,Brain,Tubule,Salivary gland,Crop,Thoracicoabdominal ganglion,Larval CNS,Hindgut,Adult eye,S2 cells
	CPTI100026				FBgn0020238	http://flybase.org/reports/FBgn0020238	14-3-3epsilon																phosphoserine residue binding,protein heterodimerization activity,transcription factor binding,protein binding	regulation of growth,determination of adult lifespan,microtubule sliding,regulation of mitotic nuclear division,axon guidance,regulation of mitotic cell cycle,cellular protein localization,negative regulation of neuron projection arborization,positive regulation of growth,DNA damage checkpoint signaling,pole cell migration,germarium-derived oocyte fate determination,positive regulation of Ras protein signal transduction,cytoplasmic sequestering of transcription factor,response to UV,positive regulation of hippo signaling,wing disc dorsal/ventral pattern formation,signal transduction,oocyte microtubule cytoskeleton polarization	4848	2262,1991,291	centrosome,germline ring canal,nucleoplasm,plasma membrane,nucleus,chromosome,cytoplasm	Larval salivary gland,S2 cells,Male accessory glands,Virgin spermatheca,Larval tubule,Ovary,Tubule,Larval trachea,Adult heart,Larval CNS,Adult eye,Larval midgut,Larvae hindgut
	CPTI100034				FBgn0020238	http://flybase.org/reports/FBgn0020238	14-3-3epsilon																phosphoserine residue binding,protein heterodimerization activity,transcription factor binding,protein binding	regulation of growth,determination of adult lifespan,microtubule sliding,regulation of mitotic nuclear division,axon guidance,regulation of mitotic cell cycle,cellular protein localization,negative regulation of neuron projection arborization,positive regulation of growth,DNA damage checkpoint signaling,pole cell migration,germarium-derived oocyte fate determination,positive regulation of Ras protein signal transduction,cytoplasmic sequestering of transcription factor,response to UV,positive regulation of hippo signaling,wing disc dorsal/ventral pattern formation,signal transduction,oocyte microtubule cytoskeleton polarization	4848	2262,1991,291	centrosome,germline ring canal,nucleoplasm,plasma membrane,nucleus,chromosome,cytoplasm	Larval salivary gland,S2 cells,Male accessory glands,Virgin spermatheca,Larval tubule,Ovary,Tubule,Larval trachea,Adult heart,Larval CNS,Adult eye,Larval midgut,Larvae hindgut
	CPTI100045				FBgn0020238	http://flybase.org/reports/FBgn0020238	14-3-3epsilon																phosphoserine residue binding,protein heterodimerization activity,transcription factor binding,protein binding	regulation of growth,determination of adult lifespan,microtubule sliding,regulation of mitotic nuclear division,axon guidance,regulation of mitotic cell cycle,cellular protein localization,negative regulation of neuron projection arborization,positive regulation of growth,DNA damage checkpoint signaling,pole cell migration,germarium-derived oocyte fate determination,positive regulation of Ras protein signal transduction,cytoplasmic sequestering of transcription factor,response to UV,positive regulation of hippo signaling,wing disc dorsal/ventral pattern formation,signal transduction,oocyte microtubule cytoskeleton polarization	4848	2262,1991,291	centrosome,germline ring canal,nucleoplasm,plasma membrane,nucleus,chromosome,cytoplasm	Larval salivary gland,S2 cells,Male accessory glands,Virgin spermatheca,Larval tubule,Ovary,Tubule,Larval trachea,Adult heart,Larval CNS,Adult eye,Larval midgut,Larvae hindgut
	CPTI100065				FBgn0020238	http://flybase.org/reports/FBgn0020238	14-3-3epsilon																phosphoserine residue binding,protein heterodimerization activity,transcription factor binding,protein binding	regulation of growth,determination of adult lifespan,microtubule sliding,regulation of mitotic nuclear division,axon guidance,regulation of mitotic cell cycle,cellular protein localization,negative regulation of neuron projection arborization,positive regulation of growth,DNA damage checkpoint signaling,pole cell migration,germarium-derived oocyte fate determination,positive regulation of Ras protein signal transduction,cytoplasmic sequestering of transcription factor,response to UV,positive regulation of hippo signaling,wing disc dorsal/ventral pattern formation,signal transduction,oocyte microtubule cytoskeleton polarization	4848	2262,1991,291	centrosome,germline ring canal,nucleoplasm,plasma membrane,nucleus,chromosome,cytoplasm	Larval salivary gland,S2 cells,Male accessory glands,Virgin spermatheca,Larval tubule,Ovary,Tubule,Larval trachea,Adult heart,Larval CNS,Adult eye,Larval midgut,Larvae hindgut
	CPTI000056				FBgn0017581	http://flybase.org/reports/FBgn0017581	Lk6																calmodulin binding,ATP binding,calcium-dependent protein serine/threonine kinase activity,protein kinase activity,calmodulin-dependent protein kinase activity,protein serine/threonine kinase activity,mitogen-activated protein kinase binding,kinase activity	intracellular signal transduction,microtubule-based process,protein phosphorylation,regulation of growth,protein autophosphorylation,positive regulation of peptidyl-serine phosphorylation,peptidyl-serine phosphorylation	224	2041,587	cytosol,centrosome,microtubule,nuclear envelope,nucleus,cytoplasm	Head,Male accessory glands,Virgin spermatheca,Adult carcass,Brain,Salivary gland,Larval trachea,Crop,Thoracicoabdominal ganglion,Adult heart,Hindgut,Adult eye,S2 cells
	CPTI000216				FBgn0017581	http://flybase.org/reports/FBgn0017581	Lk6																calmodulin binding,ATP binding,calcium-dependent protein serine/threonine kinase activity,protein kinase activity,calmodulin-dependent protein kinase activity,protein serine/threonine kinase activity,mitogen-activated protein kinase binding,kinase activity	intracellular signal transduction,microtubule-based process,protein phosphorylation,regulation of growth,protein autophosphorylation,positive regulation of peptidyl-serine phosphorylation,peptidyl-serine phosphorylation	224	2041,587	cytosol,centrosome,microtubule,nuclear envelope,nucleus,cytoplasm	Head,Male accessory glands,Virgin spermatheca,Adult carcass,Brain,Salivary gland,Larval trachea,Crop,Thoracicoabdominal ganglion,Adult heart,Hindgut,Adult eye,S2 cells
	CPTI003490				FBgn0016797	http://flybase.org/reports/FBgn0016797	fz2																Wnt-activated receptor activity,Wnt-protein binding,PDZ domain binding	canonical Wnt signaling pathway,motor neuron axon guidance,non-canonical Wnt signaling pathway,neuron fate specification,regulation of axonogenesis,cell migration,retinal ganglion cell axon guidance,cardioblast cell fate specification,synapse organization,chitin-based larval cuticle pattern formation,salivary gland morphogenesis,germ-line stem-cell niche homeostasis,axon extension,Wnt signaling pathway,midgut development,female gonad development,synaptic target inhibition,imaginal disc-derived wing margin morphogenesis,segment polarity determination,regulation of hemocyte proliferation	47	968,1304,1969,3227	Wnt-Frizzled-LRP5/6 complex,plasma membrane,integral component of membrane,integral component of plasma membrane,nucleus,Wnt signalosome,early endosome,late endosome	Larval carcass,Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Thoracicoabdominal ganglion,Midgut,Larval midgut,Larval fat body,Head,Larval salivary gland,Adult carcass,Mated spermatheca,Tubule,Salivary gland,Larval trachea,Crop,Adult heart,Larval CNS,Hindgut,Adult eye,Larvae hindgut
	CPTI003532				FBgn0016685	http://flybase.org/reports/FBgn0016685	Nlp																chromatin binding,histone binding,RNA binding	chromatin remodeling,sperm DNA decondensation	861	372	nucleoplasm,nucleus,polytene chromosome interband,cytoplasm,nucleolus	Larval CNS,Larval salivary gland,Male accessory glands,Ovary,Larval trachea
	CPTI000168				FBgn0015774	http://flybase.org/reports/FBgn0015774	NetB																	motor neuron axon guidance,compound eye development,dendrite guidance,salivary gland boundary specification,animal organ morphogenesis,dendrite development,regulation of photoreceptor cell axon guidance,glial cell migration,synaptic target attraction,synaptic target recognition,axon guidance,tissue development	19	5224,3650	extracellular matrix,axonal growth cone,perinuclear region of cytoplasm,basement membrane,neuronal cell body	Head,Larval carcass,Mated spermatheca,Brain,Larval tubule,Larval trachea,Thoracicoabdominal ganglion,Adult heart,Larval CNS,Hindgut,Adult eye,Larval fat body
	CPTI000748				FBgn0015774	http://flybase.org/reports/FBgn0015774	NetB																	motor neuron axon guidance,compound eye development,dendrite guidance,salivary gland boundary specification,animal organ morphogenesis,dendrite development,regulation of photoreceptor cell axon guidance,glial cell migration,synaptic target attraction,synaptic target recognition,axon guidance,tissue development	19	5224,3650	extracellular matrix,axonal growth cone,perinuclear region of cytoplasm,basement membrane,neuronal cell body	Head,Larval carcass,Mated spermatheca,Brain,Larval tubule,Larval trachea,Thoracicoabdominal ganglion,Adult heart,Larval CNS,Hindgut,Adult eye,Larval fat body
	CPTI001135				FBgn0015773	http://flybase.org/reports/FBgn0015773	NetA																	motor neuron axon guidance,compound eye development,dendrite guidance,animal organ morphogenesis,dendrite development,regulation of photoreceptor cell axon guidance,glial cell migration,axon guidance,tissue development	9	474,655	cytosol,extracellular matrix,axonal growth cone,basement membrane	Larval carcass,Male accessory glands,Crop,Adult heart,Larval CNS,Hindgut,Midgut,Adult eye,Larval midgut,Larvae hindgut
	CPTI002152				FBgn0015773	http://flybase.org/reports/FBgn0015773	NetA																	motor neuron axon guidance,compound eye development,dendrite guidance,animal organ morphogenesis,dendrite development,regulation of photoreceptor cell axon guidance,glial cell migration,axon guidance,tissue development	9	474,655	cytosol,extracellular matrix,axonal growth cone,basement membrane	Larval carcass,Male accessory glands,Crop,Adult heart,Larval CNS,Hindgut,Midgut,Adult eye,Larval midgut,Larvae hindgut
	CPTI001380				FBgn0015772	http://flybase.org/reports/FBgn0015772	Nak																protein binding,ATP binding,protein serine/threonine kinase activity,AP-2 adaptor complex binding,PTB domain binding	regulation of clathrin-dependent endocytosis,dendrite morphogenesis,positive regulation of Notch signaling pathway,asymmetric cell division,protein phosphorylation	9	1824,568,1758,400	dendrite,axon,cytoplasm,neuronal cell body	Larval carcass,Male accessory glands,Brain,Larval tubule,Ovary,Thoracicoabdominal ganglion,Head,Larval salivary gland,Tubule,Salivary gland,Larval trachea,Crop,Adult heart,Larval CNS,Hindgut,Adult eye,Larvae hindgut
